SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
COPA	0	1	0	1
COPB2	1	1	0	2
COPE	0	0	1	0
COPG1	0	1	0	1
COPG2	0	0	1	0
COPS2	0	0	1	0
COPZ2	0	1	0	1
COQ3	0	1	0	1
CORIN	0	1	0	1
CORO2B	0	1	0	1
COX15	0	1	0	1
COX18	1	0	0	1
COX7A2L	0	1	0	1
CPA2	0	1	0	1
CPA3	0	1	0	1
CPD	0	2	0	2
CPEB2	0	1	0	1
CPED1	1	0	0	1
CPNE2	0	0	1	0
CPNE4	1	0	0	1
CPNE7	0	0	1	0
CPOX	0	1	0	1
CPSF1	0	2	0	2
CPSF3L	0	0	0	0
CPSF4L	0	1	0	1
CPSF7	0	1	0	1
CPT1A	0	1	0	1
CPT2	0	0	1	0
CR1L	0	1	0	1
CR2	0	1	0	1
CRAMP1L	0	2	0	2
CRB1	0	1	0	1
CRB2	0	1	0	1
CREB1	0	1	0	1
CREB5	0	1	0	1
CREBBP	2	0	0	2
CREBRF	0	1	0	1
CREBZF	0	0	0	0
CRHR1	0	1	0	1
CRIM1	0	2	0	2
CRLF3	0	1	0	1
CRNN	0	1	0	1
CRTC1	0	1	0	1
CRTC3	0	0	1	0
CRYAA	0	1	0	1
CSF1	0	0	1	0
CSF2RB	0	0	1	0
CSK	0	1	0	1
CSMD1	0	0	1	0
CSMD3	1	0	0	1
CSNK2A1	0	1	0	1
CSNK2A3	0	1	0	1
CSNK2B	0	1	0	1
CST4	0	1	0	1
CSTF2T	0	1	0	1
CTAGE1	0	1	0	1
CTBP2	1	0	0	1
CTCF	0	3	0	3
CTCFL	0	1	0	1
CTDSP1	1	0	0	1
CTDSPL2	0	2	0	2
CTNNA1	0	2	0	2
CTNNB1	2	0	0	2
CTNNBIP1	1	0	0	1
CTNND1	1	1	0	2
CTR9	1	1	0	2
CTRB1	0	1	0	1
CTSK	0	1	0	1
CTSZ	1	0	0	1
CTTNBP2	0	1	0	1
CTU2	0	1	0	1
CUL1	0	1	0	1
CUL3	1	1	0	2
CUL4B	0	1	0	1
CUX2	0	1	1	1
CUZD1	0	1	0	1
CXorf30	0	1	0	1
CXorf36	0	1	0	1
CYFIP1	0	1	0	1
CYFIP2	0	1	0	1
CYHR1	0	0	1	0
CYP11A1	0	1	0	1
CYP21A2	1	1	0	2
CYP26A1	0	1	0	1
CYP26B1	0	0	2	0
CYP26C1	0	1	0	1
CYP27C1	0	2	0	2
CYP2A6	0	0	1	0
CYP2C9	1	0	0	1
CYP2J2	0	1	0	1
CYP2U1	0	1	0	1
CYP3A4	0	1	0	1
CYP4F11	0	1	0	1
CYP7B1	0	0	1	0
DAAM1	0	1	0	1
DALRD3	0	1	0	1
DAPK3	0	1	1	1
DARS	1	0	0	1
DAZAP1	1	0	0	1
DBF4B	0	1	0	1
DBR1	0	0	1	0
DCAF12L2	0	1	0	1
DCAF4	0	1	0	1
DCAF8	1	0	0	1
DCHS1	0	2	0	2
DCHS2	0	2	2	2
DCLK1	0	1	0	1
DCLRE1C	0	0	0	0
DCST1	0	0	1	0
DCX	0	0	1	0
DCXR	0	1	0	1
DDB1	0	2	0	2
DDIT3	0	1	0	1
DDO	0	1	0	1
