hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
PTCH1	9	0	0	0	1	1	0.000111580001699132	1	1
PTCHD2	1	0	0	0	1	1	0.000124911784343436	1	1
PTEN	10	1	1	0	0	7.89440041337113e-12	2.99057292920085e-10	1.11135614708236e-09	2.00044106474825e-08
PTGFRN	1	0	0	0	1	1	7.33741102155426e-05	1	1
PTPN11	12	0	0	0	19	1	6.67743220926707e-101	1	1
PTPN13	4	0	0	0	1	1	0.000140008465574061	1	1
PTPN3	9	0	0	0	1	1	6.06555774758351e-05	1	1
PTPRB	12	0	0	0	1	1	0.000135531801461918	1	1
PTPRH	19	0	0	0	1	1	8.15502767084495e-05	1	1
PTPRM	18	0	0	0	1	1	0.000105925999539423	1	1
PTPRO	12	1	0	0	0	1.11710320198778e-05	7.7265357194295e-05	8.37496897584924e-05	0.0283073951383704
PTPRQ	12	0	0	0	1	1	0	1	1
PTPRS	19	0	0	0	1	1	0.00018052112397704	1	1
PTPRT	20	0	0	0	1	1	0.000114311999350359	1	1
PTPRZ1	7	0	0	0	1	1	0.000130644563713153	1	1
PUF60	8	0	1	0	1	3.74513587511413e-06	8.05391782999933e-10	6.07946138686368e-05	0.00949017430753921
PUM1	1	0	0	0	1	1	8.40918019716634e-05	1	1
PUM2	2	0	0	0	1	1	6.61042069718109e-05	1	1
PURA	5	0	0	1	0	1	2.82580880068694e-05	1	1
PVALB	22	0	0	0	1	1	7.49175625457078e-06	1	1
PXT1	6	0	1	0	0	9.48838342123286e-07	3.30358169414996e-06	4.21816905077264e-05	0.00240435635894041
PYGL	14	0	0	0	3	1	3.85845017286764e-14	1	1
PZP	12	0	0	0	1	1	9.05199437390855e-05	1	1
QPRT	16	0	0	0	1	1	2.33332281227423e-05	1	1
QRICH1	3	0	0	0	1	1	5.04916544868641e-05	1	1
QTRT1	19	0	0	0	1	1	4.032303233576e-05	1	1
RAB10	2	0	0	0	1	1	1.37975753580167e-05	1	1
